state rawpoll_johnson adjpoll_johnson
Arizona 8.0 5.568629
Illinois 3.9 1.167028
"Maine CD-1" 9.0 6.130181
Iowa 8.0 4.226365
Arizona 5.0 3.65984
U.S. 8.0 5.742172
"New Hampshire" 8.0 7.742692
Utah 12.0 7.750044
"New Mexico" 16.0 13.09744
Wyoming 9.0 5.938689
Massachusetts 9.0 5.263371
Wyoming 10.0 7.130716
"South Carolina" 3.0 -0.0009646
Pennsylvania 5.0 4.742692
Ohio 4.0 3.742692
Florida 2.0 1.742693
"North Carolina" 5.0 4.742692
Nevada 8.0 7.742692
U.S. 5.0 3.789037
Florida 3.0 1.352059
Arkansas 3.0 0.3928923
U.S. 9.0 4.875959
"New Mexico" 12.0 11.40305
Massachusetts 9.0 4.750435
"Rhode Island" 4.07 3.565099
Minnesota 6.0 2.223438
U.S. 8.0 4.976887
Nevada 5.0 1.836734
"North Carolina" 5.0 1.953571
U.S. 7.3 5.707241
Michigan 4.5 4.163585
Pennsylvania 14.0 9.130623
U.S. 7.0 3.861022
Oregon 11.0 6.671791
Virginia 6.0 3.64727
"South Dakota" 11.0 7.938689
"Rhode Island" 8.0 4.938689
Texas 4.23 2.010781
Montana 9.0 5.938689
Delaware 7.0 3.938689
Louisiana 6.0 3.921838
Mississippi 5.0 1.938689
U.S. 5.0 2.283067
U.S. 6.6 6.065513
"New Hampshire" 11.0 7.938689
Arizona 12.0 7.919983
U.S. 8.0 3.348832
Kentucky 7.4 3.681419
"West Virginia" 6.0 2.938689
Maryland 7.0 3.938689
"North Dakota" 10.0 6.938689
Oklahoma 6.0 3.372705
Oklahoma 10.0 6.938689
Hawaii 8.0 4.938689
U.S. 4.7 1.942368
Maryland 6.0 2.63979
Vermont 9.0 5.938689
"North Carolina" 6.0 3.9591
Nebraska 9.0 5.938689
Iowa 7.0 4.933308
Arkansas 6.0 2.938689
Alaska 9.0 6.506471
Ohio 4.0 1.966241
U.S. 7.5 5.7802
Idaho 15.0 11.93869
U.S. 5.7 5.051391
Tennessee 6.0 2.938689
Indiana 12.0 8.938688
Louisiana 7.5 4.000716
U.S. 5.0 4.136641
"New Hampshire" 6.0 5.614152
Connecticut 6.0 2.938689
California 7.0 2.790179
Louisiana 5.0 1.938689
Florida 5.0 3.059452
Missouri 4.0 2.958665
Alabama 6.0 2.938689
Missouri 10.0 6.938689
Nevada 8.0 7.614152
Iowa 9.0 5.938689
Washington 9.0 5.938689
"New Mexico" 19.0 15.93869
Ohio 14.0 10.0313
"New Jersey" 4.0 0.938689
Maine 7.0 3.938689
Wisconsin 7.0 3.863389
Kentucky 7.0 3.938689
Illinois 8.0 4.938689
U.S. 3.0 2.742692
"Rhode Island" 8.0 4.263371
U.S. 8.0 6.138329
Michigan 10.0 5.716684
Kansas 12.0 8.938688
Ohio 7.0 5.059452
Massachusetts 5.0 1.938689
U.S. 5.4 4.652309
Pennsylvania 6.0 2.862676
Illinois 8.0 4.474632
Idaho 6.67 5.352765
U.S. 5.6 4.370661
Pennsylvania 9.0 5.031302
Nevada 11.0 7.938689
Florida 8.0 4.031302
Missouri 7.0 3.476541
"North Carolina" 15.0 11.0313
"North Carolina" 6.0 2.514916
"West Virginia" 7.45 6.132764
Minnesota 9.0 5.938689
Oregon 8.0 4.938689
Indiana 11.0 6.674492
"South Dakota" 7.53 6.212764
Wisconsin 8.0 4.938689
"Maine CD-2" 10.4 7.586739
Utah 7.0 3.840475
Florida 8.0 3.934607
"North Carolina" 4.0 1.738372
Texas 6.0 3.522624
U.S. 5.4 4.559494
U.S. 5.0 5.015173
"Maine CD-1" 7.3 4.48674
Michigan 5.4 3.047016
"New Hampshire" 7.0 6.487112
Arizona 9.0 5.938689
"South Carolina" 5.0 1.419115
U.S. 8.4 6.395926
"North Carolina" 7.0 5.268417
Nevada 8.3 6.982765
Nevada 9.0 8.487112
Arkansas 6.66 5.342764
Maine 12.0 8.263371
Wyoming 9.51 8.192764
"North Carolina" 4.0 1.910772
Nebraska 7.41 6.092764
Vermont 8.95 7.632764
U.S. 4.0 1.811903
U.S. 5.7 4.400825
"South Carolina" 5.0 2.237332
Maine 7.57 6.252764
Oklahoma 8.99 7.672764
Louisiana 6.36 5.042764
"North Carolina" 7.0 3.938689
Colorado 11.0 7.938689
Alaska 10.35 9.032764
"South Carolina" 6.0 2.938689
"New Mexico" 11.78 10.46276
"North Carolina" 7.0 3.867772
U.S. 5.8 4.869707
Montana 7.51 6.192765
Mississippi 4.59 3.272764
Virginia 8.0 4.881152
Michigan 8.0 4.938689
Ohio 8.0 4.607354
"North Carolina" 9.0 4.919983
U.S. 9.0 6.538946
Michigan 6.5 2.71679
Georgia 5.0 3.034159
Arizona 5.0 3.178192
U.S. 6.37 5.052764
Oregon 10.0 5.228174
"North Dakota" 6.22 4.902764
U.S. 7.7 5.574398
Kentucky 9.4 8.082764
U.S. 13.0 9.262649
U.S. 9.0 6.638141
Connecticut 3.81 2.492764
U.S. 5.0 3.991311
U.S. 5.0 3.388427
"Maine CD-1" 9.3 5.563371
"Maine CD-2" 14.0 10.26337
U.S. 4.0 3.614152
Ohio 9.0 5.938689
Texas 8.0 4.938689
Ohio 10.0 6.87918
"South Carolina" 7.0 3.919386
Maine 8.8 5.98674
Virginia 8.0 4.938689
U.S. 6.0 4.987875
Missouri 8.0 4.870571
U.S. 5.9 4.542766
U.S. 7.0 2.938838
Oregon 6.31 4.992764
Kansas 9.2 7.882764
"New York" 4.0 0.938689
"South Carolina" 6.97 5.652764
Tennessee 5.45 4.132764
Florida 8.0 3.611494
"District of Columbia" 7.4 6.082764
U.S. 9.3 5.122664
Virginia 12.0 7.756279
Iowa 8.71 7.392765
"Rhode Island" 7.94 6.622764
U.S. 9.0 5.796299
Alabama 3.12 1.802764
U.S. 7.2 4.952747
Hawaii 7.57 6.252764
U.S. 11.0 6.322193
U.S. 5.0 4.202838
Pennsylvania 6.0 2.938689
Georgia 10.1 6.493495
"North Carolina" 6.0 5.202838
Ohio 6.0 5.202838
Pennsylvania 5.0 4.202838
Florida 2.0 1.202838
Delaware 5.64 4.322764
U.S. 5.6 4.518596
Georgia 5.7 3.360149
U.S. 8.0 4.563685
Massachusetts 5.97 4.652764
U.S. 8.0 4.378998
U.S. 7.3 4.938626
U.S. 5.0 3.121659
U.S. 5.8 4.379699
"District of Columbia" 4.0 0.6544144
Florida 3.9 0.9160421
Georgia 5.31 3.992764
Mississippi 3.0 -0.4213157
"New Hampshire" 10.0 5.716384
Iowa 10.0 5.716384
Florida 6.0 2.597793
Maryland 5.74 4.422764
Michigan 3.0 2.394673
"New Hampshire" 5.36 4.042764
U.S. 5.7 4.545678
California 7.0 3.938689
Colorado 6.6 5.282764
Maine 6.56 4.693567
"West Virginia" 10.0 5.726978
U.S. 7.7 5.239543
Alaska 16.0 12.65442
Florida 5.0 1.938689
Wyoming 9.0 5.654415
Alaska 9.09 7.223567
Iowa 12.0 6.775148
U.S. 8.0 5.244101
Colorado 15.0 9.718078
Virginia 12.0 6.718077
