id,release_date,title,vote_average,vote_count,Label
76,1995-01-27,Before Sunrise,7.7,959,good
826,1957-10-02,The Bridge on the River Kwai,7.7,542,good
141,2001-01-18,Donnie Darko,7.7,3452,good
17139,1997-04-17,Character,7.7,25,good
280,1991-07-01,Terminator 2: Judgment Day,7.7,4185,good
862,1995-10-30,Toy Story,7.7,5269,good
14275,1994-09-12,Hoop Dreams,7.7,87,good
9702,1993-02-05,Bound by Honor,7.7,115,good
453,2001-12-11,A Beautiful Mind,7.7,3009,good
126141,2004-12-05,The Case of the Grinning Cat,7.7,3,good
10774,1976-11-01,Network,7.7,381,good
173224,2013-02-28,Along the Roadside,7.7,3,good
33,1992-08-07,Unforgiven,7.7,1113,good
84892,2012-09-20,The Perks of Being a Wallflower,7.7,2968,good
24985,2002-01-01,The Heart of Me,7.7,5,good
13363,2007-06-10,The Man from Earth,7.7,687,good
679,1986-07-18,Aliens,7.7,3220,good
28178,2009-06-13,Hachi: A Dog's Tale,7.7,1717,good
277216,2015-08-13,Straight Outta Compton,7.7,1355,good
26022,2010-02-12,My Name Is Khan,7.7,232,good
44639,2010-10-08,Inside Job,7.7,286,good
2118,1997-09-19,L.A. Confidential,7.7,1310,good
2011,2007-05-23,Persepolis,7.7,450,good
770,1939-12-15,Gone with the Wind,7.7,970,good
152742,2013-01-01,The Best Offer,7.7,704,good
14574,2008-05-07,The Boy in the Striped Pyjamas,7.7,1451,good
1402,2006-12-14,The Pursuit of Happyness,7.7,2525,good
4348,2005-09-16,Pride & Prejudice,7.7,1358,good
74510,2011-09-09,Kevin Hart: Laugh at My Pain,7.7,43,good
404,1999-10-15,The Straight Story,7.7,306,good
1578,1980-11-14,Raging Bull,7.7,938,good
21461,2006-01-01,Lage Raho Munna Bhai,7.6,44,good
821,1961-12-01,Judgment at Nuremberg,7.6,155,good
10386,1999-08-06,The Iron Giant,7.6,1436,good
12405,2008-05-12,Slumdog Millionaire,7.6,2827,good
10674,1998-06-18,Mulan,7.6,2008,good
21345,2009-04-22,City of Life and Death,7.6,55,good
309809,2015-07-29,The Little Prince,7.6,756,good
258755,2014-10-03,Hidden Away,7.6,26,good
16642,1978-09-13,Days of Heaven,7.6,234,good
12,2003-05-30,Finding Nemo,7.6,6122,good
905,1929-01-30,Pandora's Box,7.6,45,good
15976,2006-06-06,The Bubble,7.6,20,good
296096,2016-06-02,Me Before You,7.6,2562,good
666,1998-01-16,Central Station,7.6,126,good
8416,1970-10-21,The Conformist,7.6,127,good
288,1952-03-27,High Noon,7.6,334,good
286217,2015-09-30,The Martian,7.6,7268,good
1018,2001-05-16,Mulholland Drive,7.6,1477,good
222935,2014-05-16,The Fault in Our Stars,7.6,3759,good
45269,2010-09-06,The King's Speech,7.6,2752,good
17431,2009-06-12,Moon,7.6,1794,good
322,2003-10-07,Mystic River,7.6,1422,good
765,1987-03-13,Evil Dead II,7.6,742,good
380,1988-12-11,Rain Man,7.6,1709,good
329,1993-06-11,Jurassic Park,7.6,4856,good
83666,2012-05-16,Moonrise Kingdom,7.6,1662,good
109424,2013-10-10,Captain Phillips,7.6,2454,good
925,1989-06-30,Do the Right Thing,7.6,292,good
261,1958-02-17,Cat on a Hot Tin Roof,7.6,165,good
587,2003-12-25,Big Fish,7.6,1994,good
391,1964-09-12,A Fistful of Dollars,7.6,883,good
1417,2006-05-27,Pan's Labyrinth,7.6,3041,good
183894,2009-10-11,Emma,7.6,38,good
291,2004-07-09,Riding Giants,7.6,23,good
3558,1999-12-21,"Girl, Interrupted",7.6,721,good
16,2000-05-17,Dancer in the Dark,7.6,377,good
100402,2014-03-20,Captain America: The Winter Soldier,7.6,5764,good
273248,2015-12-25,The Hateful Eight,7.6,4274,good
14284,2007-01-19,In the Shadow of the Moon,7.6,31,good
576,1969-06-17,The Wild Bunch,7.6,259,good
137113,2014-05-27,Edge of Tomorrow,7.6,4858,good
887,1946-12-25,The Best Years of Our Lives,7.6,143,good
126319,2012-12-12,Ernest & Celestine,7.6,142,good
2493,1987-09-18,The Princess Bride,7.6,1486,good
10193,2010-06-16,Toy Story 3,7.6,4597,good
581,1990-11-09,Dances with Wolves,7.6,1046,good
11194,2003-09-05,Touching the Void,7.6,138,good
57158,2013-12-11,The Hobbit: The Desolation of Smaug,7.6,4524,good
55,2000-06-16,Amores perros,7.6,521,good
80,2004-02-10,Before Sunset,7.6,718,good
49026,2012-07-16,The Dark Knight Rises,7.6,9106,good
990,1961-09-25,The Hustler,7.6,240,good
82702,2014-06-12,How to Train Your Dragon 2,7.6,3106,good
242582,2014-10-23,Nightcrawler,7.6,3395,good
702,1951-09-18,A Streetcar Named Desire,7.6,281,good
117,1987-06-02,The Untouchables,7.6,1384,good
264660,2015-01-21,Ex Machina,7.6,4737,good
52032,2009-01-01,My Dog Tulip,7.6,9,good
9800,1993-12-22,Philadelphia,7.6,988,good
89,1989-05-24,Indiana Jones and the Last Crusade,7.6,3152,good
393,2004-04-16,Kill Bill: Vol. 2,7.6,3948,good
2786,1965-08-29,Pierrot le Fou,7.6,127,good
24748,1963-05-29,Hud,7.5,66,good
578,1975-06-18,Jaws,7.5,2542,good
127585,2014-05-15,X-Men: Days of Future Past,7.5,6032,good
347755,2016-01-28,Wind Walkers,7.5,6,good
334,1999-12-08,Magnolia,7.5,825,good
1646,2007-01-05,Freedom Writers,7.5,356,good
10331,1968-10-01,Night of the Living Dead,7.5,580,good
86837,2012-07-01,Amour,7.5,400,good
24977,2000-05-05,Michael Jordan to the Max,7.5,10,good
985,1977-03-19,Eraserhead,7.5,485,good
137106,2014-02-06,The Lego Movie,7.5,3070,good
162,1990-12-05,Edward Scissorhands,7.5,3601,good
782,1997-09-07,Gattaca,7.5,1808,good
1435,2003-10-19,Tarnation,7.5,22,good
805,1968-06-12,Rosemary's Baby,7.5,863,good
7735,2008-03-11,The Wave,7.5,841,good
13889,1993-04-17,Madadayo,7.5,20,good
585,2001-11-01,"Monsters, Inc.",7.5,5996,good
244267,2014-07-18,I Origins,7.5,1063,good
123678,2012-08-31,The Act of Killing,7.5,210,good
100,1998-03-05,"Lock, Stock and Two Smoking Barrels",7.5,1648,good
256040,2015-07-10,Baahubali: The Beginning,7.5,135,good
67238,2005-03-12,Cavite,7.5,2,good
12429,2008-07-19,Ponyo,7.5,926,good
792,1986-12-18,Platoon,7.5,1205,good
747,2004-04-09,Shaun of the Dead,7.5,2420,good
10229,2002-01-25,A Walk to Remember,7.5,1018,good
10315,2009-10-23,Fantastic Mr. Fox,7.5,1176,good
597,1997-11-18,Titanic,7.5,7562,good
820,1991-12-20,JFK,7.5,502,good
11545,1998-09-17,Rushmore,7.5,676,good
85350,2014-06-05,Boyhood,7.5,1971,good
5708,2007-09-26,Control,7.5,200,good
773,2006-07-26,Little Miss Sunshine,7.5,1686,good
9552,1973-12-26,The Exorcist,7.5,2005,good
2649,1997-09-12,The Game,7.5,1506,good
2062,2007-06-22,Ratatouille,7.5,4369,good
284293,2014-12-05,Still Alice,7.5,1104,good
142,2005-09-02,Brokeback Mountain,7.5,1480,good
9504,1992-09-15,Glengarry Glen Ross,7.5,323,good
22,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,good
525,1980-06-17,The Blues Brothers,7.5,1065,good
4995,1997-09-11,Boogie Nights,7.5,796,good
874,1966-12-12,A Man for All Seasons,7.5,89,good
5528,2004-03-17,The Chorus,7.5,526,good
562,1988-07-15,Die Hard,7.5,3948,good
361475,2016-05-20,Departure,7.5,12,good
14048,2008-07-25,Man on Wire,7.5,275,good
211954,2013-07-20,Instructions Not Included,7.5,205,good
592,1974-04-07,The Conversation,7.5,372,good
205,2004-09-11,Hotel Rwanda,7.5,793,good
68,1985-02-20,Brazil,7.5,861,good
1245,1993-11-05,The Remains of the Day,7.5,202,good
51942,1998-08-28,I Married a Strange Person!,7.5,12,good
272,2005-06-10,Batman Begins,7.5,7359,good
319,1993-09-09,True Romance,7.5,749,good
1366,1976-11-21,Rocky,7.5,1791,good
385736,2016-09-09,Kicks,7.5,18,good
16653,2002-01-30,The Singles Ward,7.5,4,good
1587,1993-12-17,What's Eating Gilbert Grape,7.5,919,good
11321,2008-12-18,Seven Pounds,7.5,2039,good
13187,1965-12-09,A Charlie Brown Christmas,7.5,153,good
8358,2000-12-22,Cast Away,7.5,3218,good
674,2005-11-05,Harry Potter and the Goblet of Fire,7.5,5608,good
671,2001-11-16,Harry Potter and the Philosopher's Stone,7.5,7006,good
10191,2010-03-05,How to Train Your Dragon,7.5,4227,good
18570,2008-09-07,"Food, Inc.",7.4,217,good
11190,2003-06-25,The Return,7.4,100,good
132344,2013-04-05,Before Midnight,7.4,568,good
190859,2014-12-11,American Sniper,7.4,4469,good
426469,2017-02-03,Growing Up Smith,7.4,7,good
10162,1998-09-15,Waking Ned,7.4,54,good
786,2000-09-15,Almost Famous,7.4,797,good
18900,1967-12-14,In Cold Blood,7.4,82,good
28580,1945-11-25,The Lost Weekend,7.4,112,good
293660,2016-02-09,Deadpool,7.4,10995,good
27029,1959-06-18,The Nun's Story,7.4,46,good
9428,2001-10-05,The Royal Tenenbaums,7.4,1286,good
38985,1977-06-24,Sorcerer,7.4,98,good
26843,1981-04-17,Lion of the Desert,7.4,34,good
9665,1989-12-15,Glory,7.4,383,good
4638,2007-02-14,Hot Fuzz,7.4,2199,good
850,1983-11-18,A Christmas Story,7.4,344,good
24226,1982-12-08,The Verdict,7.4,131,good
3116,1969-05-25,Midnight Cowboy,7.4,299,good
14811,1971-11-03,Fiddler on the Roof,7.4,134,good
228150,2014-10-15,Fury,7.4,3946,good
907,1965-12-22,Doctor Zhivago,7.4,247,good
