Date,Nino 3,Label
1909-March-01,-0.47,Cold
1910-March-01,-0.79,LaNinaTemp
1911-March-01,-0.76,LaNinaTemp
1912-March-01,0.56,NinoTemp
1913-March-01,-0.11,Cold
1914-March-01,0.29,Warm
1915-March-01,0.39,Warm
1916-March-01,-0.84,LaNinaTemp
1917-March-01,-0.98,LaNinaTemp
1918-March-01,-0.84,LaNinaTemp
1919-March-01,0.59,NinoTemp
1920-March-01,0.5,Warm
1921-March-01,-1.14,LaNinaTemp
1922-March-01,-0.13,Cold
1923-March-01,-1.06,LaNinaTemp
1924-March-01,-0.04,Cold
1925-March-01,-0.13,Cold
1926-March-01,1.16,NinoTemp
1927-March-01,-0.18,Cold
1928-March-01,-0.2,Cold
1929-March-01,-0.12,Cold
1930-March-01,0.02,Warm
1931-March-01,1.16,NinoTemp
1932-March-01,0.33,Warm
1933-March-01,-0.17,Cold
1934-March-01,-0.67,LaNinaTemp
1935-March-01,-0.32,Cold
1936-March-01,-0.13,Cold
1937-March-01,-0.23,Cold
1938-March-01,-0.27,Cold
1939-March-01,-0.95,LaNinaTemp
1940-March-01,1.09,NinoTemp
1941-March-01,1.38,NinoTemp
1942-March-01,0.02,Warm
1943-March-01,-1.08,LaNinaTemp
1944-March-01,-0.23,Cold
1945-March-01,-0.85,LaNinaTemp
1946-March-01,-0.61,LaNinaTemp
1947-March-01,0.15,Warm
1948-March-01,0.5,Warm
1949-March-01,-0.52,LaNinaTemp
1950-March-01,-0.96,LaNinaTemp
1951-March-01,-0.63,LaNinaTemp
1952-March-01,0.11,Warm
1953-March-01,0.15,Warm
1954-March-01,-0.32,Cold
1955-March-01,-0.88,LaNinaTemp
1956-March-01,-0.67,LaNinaTemp
1957-March-01,0.23,Warm
1958-March-01,0.56,NinoTemp
1959-March-01,-0.03,Cold
1960-March-01,-0.15,Cold
1961-March-01,-0.13,Cold
1962-March-01,-0.59,LaNinaTemp
1963-March-01,0.0,Cold
1964-March-01,-0.36,Cold
1965-March-01,-0.17,Cold
1966-March-01,0.05,Warm
1967-March-01,-0.47,Cold
1968-March-01,-1.18,LaNinaTemp
1969-March-01,0.42,Warm
1970-March-01,-0.1,Cold
1971-March-01,-1.17,LaNinaTemp
1972-March-01,-0.2,Cold
1973-March-01,0.31,Warm
1974-March-01,-0.94,LaNinaTemp
1975-March-01,-0.44,Cold
1976-March-01,-0.57,LaNinaTemp
1977-March-01,0.4,Warm
1978-March-01,-0.14,Cold
1979-March-01,-0.08,Cold
1980-March-01,-0.13,Cold
1981-March-01,-0.24,Cold
1982-March-01,-0.11,Cold
1983-March-01,2.01,NinoTemp
1984-March-01,-0.25,Cold
1985-March-01,-0.94,LaNinaTemp
1986-March-01,-0.47,Cold
1987-March-01,1.05,NinoTemp
1988-March-01,0.1,Warm
1989-March-01,-1.04,LaNinaTemp
1990-March-01,-0.12,Cold
1991-March-01,0.0,Cold
1992-March-01,1.19,NinoTemp
1993-March-01,0.36,Warm
1994-March-01,-0.36,Cold
1995-March-01,0.06,Warm
1996-March-01,-0.29,Cold
1997-March-01,0.06,Warm
1998-March-01,2.03,NinoTemp
1999-March-01,-0.37,Cold
2000-March-01,-0.82,LaNinaTemp
2001-March-01,-0.1,Cold
2002-March-01,0.2,Warm
2003-March-01,0.1,Warm
2004-March-01,-0.06,Cold
2005-March-01,-0.16,Cold
2006-March-01,-0.58,LaNinaTemp
2007-March-01,-0.36,Cold
2008-March-01,-0.73,LaNinaTemp
2009-March-01,-0.76,LaNinaTemp
2010-March-01,0.61,NinoTemp
2011-March-01,-0.77,LaNinaTemp
2012-March-01,-0.15,Cold
2013-March-01,0.04,Warm
2014-March-01,-0.16,Cold
2015-March-01,0.08,Warm
2016-March-01,1.52,NinoTemp
2017-March-01,0.24,Warm
2018-March-01,-0.87,LaNinaTemp
1870-April-01,-0.78,LaNinaTemp
1871-April-01,-0.57,LaNinaTemp
1872-April-01,-0.86,LaNinaTemp
1873-April-01,-0.85,LaNinaTemp
1874-April-01,-1.07,LaNinaTemp
1875-April-01,-0.79,LaNinaTemp
1876-April-01,-1.49,LaNinaTemp
1877-April-01,0.13,Warm
1878-April-01,0.84,NinoTemp
1879-April-01,-0.56,LaNinaTemp
1880-April-01,-0.6,LaNinaTemp
1881-April-01,0.07,Warm
1882-April-01,-0.15,Cold
1883-April-01,-0.31,Cold
1884-April-01,0.32,Warm
1885-April-01,-0.16,Cold
1886-April-01,-0.72,LaNinaTemp
1887-April-01,-1.1,LaNinaTemp
1888-April-01,0.12,Warm
1889-April-01,0.36,Warm
1890-April-01,-1.14,LaNinaTemp
1891-April-01,0.17,Warm
1892-April-01,-0.74,LaNinaTemp
1893-April-01,-1.24,LaNinaTemp
1894-April-01,-0.8,LaNinaTemp
1895-April-01,-0.27,Cold
1896-April-01,0.0,Cold
1897-April-01,-0.22,Cold
1898-April-01,-0.69,LaNinaTemp
1899-April-01,-0.27,Cold
1900-April-01,0.59,NinoTemp
1901-April-01,-0.39,Cold
1902-April-01,0.22,Warm
1903-April-01,-0.11,Cold
1904-April-01,-0.76,LaNinaTemp
1905-April-01,0.15,Warm
1906-April-01,0.26,Warm
1907-April-01,-0.62,LaNinaTemp
1908-April-01,-0.75,LaNinaTemp
1909-April-01,-0.86,LaNinaTemp
1910-April-01,-1.01,LaNinaTemp
1911-April-01,-1.06,LaNinaTemp
1912-April-01,0.53,NinoTemp
1913-April-01,-1.16,LaNinaTemp
1914-April-01,0.42,Warm
1915-April-01,0.56,NinoTemp
1916-April-01,-0.95,LaNinaTemp
1917-April-01,-0.36,Cold
1918-April-01,-0.39,Cold
1919-April-01,0.5,Warm
1920-April-01,0.06,Warm
1921-April-01,-0.65,LaNinaTemp
1922-April-01,-0.49,Cold
1923-April-01,-0.55,LaNinaTemp
1924-April-01,-0.34,Cold
1925-April-01,-0.23,Cold
1926-April-01,1.07,NinoTemp
1927-April-01,-0.33,Cold
1928-April-01,-0.34,Cold
1929-April-01,0.09,Warm
1930-April-01,0.3,Warm
1931-April-01,0.88,NinoTemp
1932-April-01,0.26,Warm
1933-April-01,-0.04,Cold
1934-April-01,-0.1,Cold
1935-April-01,-0.12,Cold
1936-April-01,0.14,Warm
1937-April-01,0.12,Warm
1938-April-01,-0.34,Cold
1939-April-01,-0.32,Cold
1940-April-01,0.8,NinoTemp
1941-April-01,1.28,NinoTemp
1942-April-01,0.05,Warm
1943-April-01,-0.46,Cold
1944-April-01,0.15,Warm
1945-April-01,-0.6,LaNinaTemp
1946-April-01,-0.53,LaNinaTemp
1947-April-01,-0.13,Cold
1948-April-01,0.04,Warm
1949-April-01,0.24,Warm
1950-April-01,-0.98,LaNinaTemp
1951-April-01,0.0,Cold
1952-April-01,0.14,Warm
1953-April-01,0.79,NinoTemp
1954-April-01,-1.17,LaNinaTemp
1955-April-01,-0.99,LaNinaTemp
1956-April-01,-0.75,LaNinaTemp
1957-April-01,0.34,Warm
1958-April-01,0.07,Warm
1959-April-01,0.12,Warm
1960-April-01,-0.31,Cold
1961-April-01,0.3,Warm
1962-April-01,-0.77,LaNinaTemp
1963-April-01,-0.02,Cold
1964-April-01,-1.03,LaNinaTemp
1965-April-01,0.1,Warm
1966-April-01,-0.02,Cold
1967-April-01,-0.69,LaNinaTemp
1968-April-01,-0.7,LaNinaTemp
1969-April-01,0.36,Warm
1970-April-01,-0.24,Cold
1971-April-01,-0.78,LaNinaTemp
1972-April-01,0.32,Warm
1973-April-01,-0.33,Cold
1974-April-01,-0.57,LaNinaTemp
1975-April-01,-0.27,Cold
1976-April-01,-0.23,Cold
1977-April-01,-0.51,LaNinaTemp
1978-April-01,-0.72,LaNinaTemp
1979-April-01,0.24,Warm
1980-April-01,0.04,Warm
1981-April-01,-0.33,Cold
1982-April-01,0.2,Warm
1983-April-01,1.73,NinoTemp
1984-April-01,-0.43,Cold
1985-April-01,-0.98,LaNinaTemp
1986-April-01,-0.45,Cold
1987-April-01,0.95,NinoTemp
1988-April-01,-0.75,LaNinaTemp
1989-April-01,-0.88,LaNinaTemp
1990-April-01,0.14,Warm
1991-April-01,-0.09,Cold
1992-April-01,1.32,NinoTemp
1993-April-01,0.92,NinoTemp
1994-April-01,-0.43,Cold
1995-April-01,-0.23,Cold
1996-April-01,-0.55,LaNinaTemp
1997-April-01,0.28,Warm
1998-April-01,1.51,NinoTemp
1999-April-01,-0.63,LaNinaTemp
2000-April-01,-0.3,Cold
2001-April-01,-0.03,Cold
2002-April-01,0.06,Warm
2003-April-01,-0.42,Cold
2004-April-01,-0.04,Cold
2005-April-01,0.14,Warm
2006-April-01,-0.26,Cold
2007-April-01,-0.45,Cold
2008-April-01,-0.47,Cold
2009-April-01,-0.07,Cold
2010-April-01,0.53,NinoTemp
2011-April-01,-0.36,Cold
2012-April-01,0.0,Cold
2013-April-01,-0.11,Cold
2014-April-01,0.22,Warm
2015-April-01,0.75,NinoTemp
2016-April-01,0.78,NinoTemp
2017-April-01,0.42,Warm
2018-April-01,-0.43,Cold
1870-May-01,-1.15,LaNinaTemp
1871-May-01,-0.84,LaNinaTemp
1872-May-01,-0.8,LaNinaTemp
1873-May-01,-0.82,LaNinaTemp
1874-May-01,-0.83,LaNinaTemp
1875-May-01,-1.04,LaNinaTemp
1876-May-01,-1.44,LaNinaTemp
1877-May-01,0.37,Warm
1878-May-01,0.66,NinoTemp
1879-May-01,-1.0,LaNinaTemp
1880-May-01,-0.7,LaNinaTemp
1881-May-01,-0.1,Cold
1882-May-01,-0.24,Cold
1883-May-01,-0.43,Cold
1884-May-01,0.29,Warm
1885-May-01,-0.04,Cold
1886-May-01,-1.19,LaNinaTemp
1887-May-01,-0.96,LaNinaTemp
1888-May-01,0.57,NinoTemp
1889-May-01,0.09,Warm
1890-May-01,-1.07,LaNinaTemp
1891-May-01,0.27,Warm
1892-May-01,-0.89,LaNinaTemp
1893-May-01,-1.18,LaNinaTemp
1894-May-01,-0.9,LaNinaTemp
1895-May-01,-0.1,Cold
1896-May-01,0.06,Warm
1897-May-01,-0.19,Cold
1898-May-01,-0.67,LaNinaTemp
