Date,Nino 3
1874-July-01,-1.11
1875-July-01,-0.86
1876-July-01,-0.42
1877-July-01,1.37
1878-July-01,0.27
1879-July-01,-0.62
1880-July-01,-0.45
1881-July-01,-0.24
1882-July-01,-0.93
1883-July-01,0.07
1884-July-01,0.26
1885-July-01,-0.28
1886-July-01,-1.02
1887-July-01,-0.34
1888-July-01,0.61
1889-July-01,-0.73
1890-July-01,-0.88
1891-July-01,0.31
1892-July-01,-0.66
1893-July-01,-1.0
1894-July-01,-0.6
1895-July-01,-0.18
1896-July-01,0.37
1897-July-01,-0.03
1898-July-01,-0.52
1899-July-01,-0.12
1900-July-01,0.71
1901-July-01,-0.5
1902-July-01,1.52
1903-July-01,-0.47
1904-July-01,0.86
1905-July-01,0.8
1906-July-01,-0.87
1907-July-01,-0.79
1908-July-01,-0.76
1909-July-01,-1.04
1910-July-01,-0.7
1911-July-01,0.01
1912-July-01,-0.33
1913-July-01,-0.05
1914-July-01,0.57
1915-July-01,0.12
1916-July-01,-1.52
1917-July-01,0.27
1918-July-01,0.57
1919-July-01,0.48
1920-July-01,-0.35
1921-July-01,-0.25
1922-July-01,-0.79
1923-July-01,0.09
1924-July-01,-1.03
1925-July-01,0.82
1926-July-01,0.71
1927-July-01,-0.45
1928-July-01,-0.25
1929-July-01,-0.13
1930-July-01,0.77
1931-July-01,0.29
1932-July-01,0.08
1933-July-01,-0.69
1934-July-01,-0.45
1935-July-01,-0.81
1936-July-01,-0.31
1937-July-01,-0.06
1938-July-01,-1.56
1939-July-01,0.14
1940-July-01,-0.04
1941-July-01,0.47
1942-July-01,-1.01
1943-July-01,0.01
1944-July-01,0.11
1945-July-01,-0.38
1946-July-01,-0.31
1947-July-01,-0.39
1948-July-01,-0.35
1949-July-01,-0.69
1950-July-01,-1.04
1951-July-01,1.14
1952-July-01,-0.76
1953-July-01,0.22
1954-July-01,-1.35
1955-July-01,-1.26
1956-July-01,-0.76
1957-July-01,1.19
1958-July-01,-0.01
1959-July-01,-0.38
1960-July-01,-0.3
1961-July-01,-0.67
1962-July-01,-0.39
1963-July-01,0.84
